light_level,avgMoisture,needs_frequent_water,watering_days
1.0,2.0,True,3
2.0,2.0,False,7
2.5,2.0,False,7
2.5,2.0,False,7
2.5,1.0,False,7
2.5,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
2.5,2.0,False,7
2.0,2.0,False,7
2.0,2.0,False,7
1.0,3.0,True,1
1.0,2.0,True,3
3.0,2.0,True,3
3.0,2.0,True,3
3.0,2.0,True,3
1.0,1.5,True,3
2.5,1.5,False,7
1.0,3.0,True,1
1.0,3.0,True,1
1.0,3.0,True,1
1.5,2.0,False,7
2.5,1.5,False,7
2.5,1.5,False,7
2.5,1.5,False,7
2.0,2.0,False,7
2.0,1.0,False,7
2.5,2.0,False,7
2.5,2.0,False,7
3.0,2.0,False,7
2.5,2.0,True,3
2.5,2.0,True,3
3.0,3.0,True,3
3.0,2.0,False,7
2.0,3.0,True,1
2.0,3.0,True,1
1.0,3.0,True,1
2.5,2.0,True,3
2.5,2.0,True,3
1.5,2.0,True,3
2.5,2.0,True,3
2.0,2.0,False,7
2.5,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
1.0,3.0,True,1
2.5,2.0,True,3
2.5,2.0,True,3
2.5,2.0,False,7
2.5,2.0,False,7
2.5,2.0,False,7
2.5,2.0,False,7
2.0,1.0,False,7
2.5,2.0,True,3
1.5,2.0,True,3
1.5,2.0,True,3
2.5,2.0,True,3
1.5,1.5,True,3
1.0,3.0,True,1
2.5,2.0,True,3
3.5,2.0,True,3
3.5,2.0,True,3
2.5,2.0,True,3
2.5,1.5,False,7
2.5,2.0,False,7
2.5,2.0,False,7
2.5,2.0,False,7
1.0,2.0,False,7
2.5,2.0,True,3
2.5,2.0,True,3
2.0,3.0,True,1
2.5,2.0,True,3
1.5,2.0,True,3
2.0,2.0,True,3
1.0,1.0,False,7
2.0,2.0,True,3
2.5,2.0,True,3
2.5,1.5,False,7
2.0,2.0,True,3
2.0,2.0,True,3
2.5,2.0,True,3
1.5,2.0,True,1
1.5,2.0,True,1
1.5,2.0,True,3
2.5,2.0,True,3
2.5,3.0,True,1
2.0,2.0,False,7
2.0,2.0,True,3
2.0,2.0,True,3
2.0,2.0,True,3
2.5,2.0,True,3
2.5,1.0,False,7
3.0,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
3.0,2.0,True,3
3.0,2.0,True,3
2.5,2.0,True,3
3.0,2.0,True,3
3.0,2.0,True,3
1.5,3.0,True,1
1.5,3.0,True,1
1.5,3.0,True,1
2.0,1.5,False,7
2.0,2.0,True,3
3.0,2.0,True,3
3.0,2.0,True,3
2.0,1.0,False,7
2.0,1.0,False,7
2.0,1.0,False,7
1.0,2.5,True,1
1.0,2.5,True,1
1.5,2.0,True,3
1.5,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
2.5,1.0,False,7
2.5,1.0,False,7
2.0,1.0,False,7
2.0,2.0,True,1
2.5,2.5,True,1
2.0,1.0,True,3
2.0,1.0,True,3
2.5,2.0,True,3
1.5,3.0,True,1
2.5,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
1.0,2.0,True,3
2.0,2.0,True,3
3.5,2.0,True,3
3.0,2.0,True,3
2.5,2.5,True,3
2.0,2.0,True,3
2.0,2.0,False,7
2.5,2.0,True,3
1.0,2.0,True,3
1.0,2.0,True,3
1.5,2.0,True,3
1.5,2.0,True,3
1.5,2.5,True,1
1.5,2.5,True,1
1.0,2.0,False,7
1.5,3.0,True,1
2.0,1.5,True,3
2.5,2.0,True,3
2.5,2.0,True,3
3.0,2.0,True,3
3.0,2.0,True,3
3.0,2.0,True,3
2.5,2.0,False,7
2.5,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
2.5,1.5,True,3
2.5,1.0,True,3
2.5,2.0,False,7
1.5,3.0,True,1
1.5,3.0,True,1
1.5,2.0,True,3
1.5,2.0,True,3
2.5,2.0,True,3
1.5,2.0,True,3
1.0,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
3.0,2.0,True,3
3.0,2.0,True,3
3.0,2.0,True,3
3.0,2.0,True,3
2.5,2.0,True,3
2.5,1.5,False,7
2.5,1.0,False,7
2.5,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
2.0,1.0,False,7
1.5,2.0,True,3
2.5,2.0,False,7
2.5,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
3.0,2.0,False,7
3.0,2.0,True,3
1.5,2.0,True,3
2.5,1.5,True,3
2.5,1.5,False,7
2.5,2.0,False,7
2.5,2.0,False,7
2.0,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
3.0,2.0,True,3
2.0,2.0,True,3
2.0,2.0,True,3
2.5,2.0,True,3
2.5,2.0,True,3
2.0,2.0,True,3
2.0,2.0,True,3
2.0,3.0,True,3
2.5,2.0,True,3
